title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Queen",movie,"Biography, Drama",2006,tt0436697,7.3,117452,
"The Remains of the Day",movie,"Drama, Romance",1993,tt0107943,7.8,88063,
"Hannibal Rising",movie,"Adventure, Crime, Drama",2007,tt0367959,6.1,118694,
"Letters from Iwo Jima",movie,"Action, Adventure, Drama",2006,tt0498380,7.8,173184,
"The Host",movie,"Drama, Horror, Sci-Fi",2006,tt0468492,7.1,137381,
"Street Kings",movie,"Action, Crime, Thriller",2008,tt0421073,6.8,123318,
"Mr. Bean's Holiday",movie,"Comedy, Family",2007,tt0453451,6.4,137634,
300,movie,"Action, Drama",2006,tt0416449,7.6,886404,
TMNT,movie,"Action, Adventure, Animation",2007,tt0453556,6.2,70603,
Bean,movie,"Adventure, Comedy, Family",1997,tt0118689,6.5,113384,
"A Brief History of Time",movie,"Biography, Documentary",1991,tt0103882,7.3,6026,
"The Return of the King",movie,"Adventure, Animation, Family",1980,tt0079802,5.7,5113,
"The Hobbit",movie,"Adventure, Animation, Family",1977,tt0077687,6.7,17484,
Rocky,movie,"Drama, Sport",1976,tt0075148,8.1,654753,
"Rocky II",movie,"Drama, Sport",1979,tt0079817,7.3,238827,
"Rocky III",movie,"Drama, Sport",1982,tt0084602,6.8,218267,
"Blood Diamond",movie,"Adventure, Drama, Thriller",2006,tt0450259,8,603912,
"Rocky IV",movie,"Drama, Sport",1985,tt0089927,6.9,233979,
"Rocky V",movie,"Drama, Sport",1990,tt0100507,5.4,155157,
Stalker,movie,"Drama, Sci-Fi",1979,tt0079944,8,150318,
"The Pursuit of Happyness",movie,"Biography, Drama",2006,tt0454921,8,586585,
"Sex, Lies, and Videotape",movie,Drama,1989,tt0098724,7.2,61646,
"The Departed",movie,"Crime, Drama, Thriller",2006,tt0407887,8.5,1476124,
"Once Upon a Time in Mexico",movie,"Action, Crime, Thriller",2003,tt0285823,6.3,173076,
"Superman Returns",movie,"Action, Adventure, Sci-Fi",2006,tt0348150,6.1,295366,
"Touch of Evil",movie,"Crime, Drama, Film-Noir",1958,tt0052311,7.9,112101,
Hellboy,movie,"Action, Adventure, Fantasy",2004,tt0167190,6.9,359798,
"Miss Congeniality",movie,"Action, Comedy, Crime",2000,tt0212346,6.3,238572,
"The Last King of Scotland",movie,"Biography, Drama, History",2006,tt0455590,7.6,200285,
Flatliners,movie,"Drama, Horror, Sci-Fi",1990,tt0099582,6.6,95833,
"Down by Law",movie,"Comedy, Crime, Drama",1986,tt0090967,7.6,56852,
"The Spanish Apartment",movie,"Comedy, Drama, Romance",2002,tt0283900,7.3,43362,
Chicago,movie,"Comedy, Crime, Musical",2002,tt0299658,7.2,249190,
Rope,movie,"Crime, Drama, Mystery",1948,tt0040746,7.9,159619,
"The Holiday",movie,"Comedy, Romance",2006,tt0457939,7,346500,
"School of Rock",movie,"Comedy, Music",2003,tt0332379,7.2,342892,
"Nowhere in Africa",movie,"Biography, Drama, History",2001,tt0161860,7.5,14405,
"A Shot in the Dark",movie,"Comedy, Crime, Mystery",1964,tt0058586,7.3,32241,
"Meet the Parents",movie,"Comedy, Romance",2000,tt0212338,7,366165,
"Vivre sa vie",movie,Drama,1962,tt0056663,7.8,36260,
"Jules and Jim",movie,"Drama, Romance",1962,tt0055032,7.7,45640,
"The People vs. Larry Flynt",movie,"Biography, Drama",1996,tt0117318,7.3,102998,
"Mississippi Burning",movie,"Crime, Drama, Mystery",1988,tt0095647,7.8,118644,
"Free Willy",movie,"Adventure, Drama, Family",1993,tt0106965,6,85656,
"The Island",movie,"Action, Sci-Fi, Thriller",2005,tt0399201,6.8,333318,
Speed,movie,"Action, Adventure, Thriller",1994,tt0111257,7.3,405743,
